artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tom Lee Hong Kong Youth NeoWinds Orchestra,"2011 WASBE Chiayi City, Taiwan: Tom Lee Hong Kong Youth NeoWinds Orchestra","Hymn to the Sun, ""With the Beat of Mother Earth""",4olLv2XSxKmEYFeA6JtuJ2,0.161,0.293,7,-15.691,0,0.0415,0.569,0.661,0.0572,78.331,561640,4
LANY,Malibu Nights,Malibu Nights,0Eqg0CQ7bK3RQIMPw1A7pl,0.559,0.422,11,-11.89,1,0.195,1.99e-06,0.0853,0.191,74.002,286928,4
Ed Sheeran,+,Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq,0.526,0.328,1,-9.864,1,0.0461,0.0,0.112,0.11,116.068,526387,4
Coastal Communities Concert Band,37th Anniversary Concert 2020,Persis Overture - Live,0U8Di9rRSR7xvxn0fJAaAp,0.318,0.219,7,-17.426,0,0.0406,0.913,0.776,0.293,134.38,500973,4
One Direction,Take Me Home (Expanded Edition),Little Things,0TAmnCzOtqRfvA38DDLTjj,0.709,0.22,7,-11.856,1,0.0327,0.0,0.175,0.53,110.076,219040,4
Conro,All Eyes On Me,All Eyes On Me,680V5vxHWn2D11Yws0e12V,0.761,0.644,7,-6.765,1,0.0409,0.00146,0.0838,0.444,111.993,199286,4
Rogue,Oceans,Oceans,1p7IP0JMy5fuOdozeoDmnh,0.384,0.825,4,-5.032,0,0.0621,2.83e-06,0.338,0.351,174.979,242743,4
Conro,Remember You,Remember You,796JqxZ3o0ZH6OllNRDuTY,0.672,0.808,8,-5.541,1,0.0407,0.0,0.385,0.334,119.935,189000,4
Bishu,Hali 2 Cali,Diamonds,7IcCoBTSwAG6QO5dvDzEEq,0.48,0.941,1,-0.323,1,0.11,2.94e-06,0.399,0.408,168.029,211412,4
SMLE,Runnin,Runnin,4lzezjVUnL8AU506mCOdhT,0.71,0.681,8,-6.15,1,0.0941,4.68e-05,0.232,0.41,116.014,175846,4
SUNMI,WARNING,Siren,6ySoz8mujfiQS37xjEEZCv,0.61,0.905,9,-3.686,0,0.0369,0.0,0.0592,0.521,122.012,199134,4
Pentatonix,"PTX, Vol. III",Rather Be,4hxemf0pE0mSzubgsfRLWu,0.803,0.528,11,-7.529,1,0.0431,2.56e-06,0.0748,0.659,122.026,212693,4
Ren Ran,飞鸟和蝉,飞鸟和蝉,3IveWAHTMxZA4KYBPnylq5,0.569,0.567,10,-7.142,1,0.0527,0.0,0.222,0.321,147.962,296031,4
ILLENIUM,Crashing (Remixes),Crashing (ft. Bahari) – Stripped,1SreIFDe15GQC4BrdZW2Hh,0.398,0.326,5,-8.876,1,0.0407,0.0,0.101,0.35,82.19,226250,4
Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,1.65e-06,0.096,0.104,125.026,197267,4
Jeremy Zucker,"summer,",comethru,18uwL0vNUanqZH0ro2QcOP,0.795,0.178,0,-11.991,1,0.0574,0.0,0.623,0.608,93.982,181613,4
HONNE,Love Me / Love Me Not,Location Unknown ◐,6A1GBCMwbfhkB9e1thR8a8,0.682,0.65,5,-7.231,1,0.0457,9.48e-06,0.0947,0.378,109.986,290385,4
Stephanie Poetri,I Love You 3000,I Love You 3000,3znQ9i61vfe2E7URHlOiyc,0.648,0.382,6,-7.85,1,0.0396,0.0,0.393,0.408,90.099,209734,4
TWICE,Eyes Wide Open,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,0.657,0.88,10,-3.672,0,0.102,0.0,0.463,0.769,150.084,205493,4
Birdy,Birdy,People Help the People,0YywjDvFudcaHG74NuWISy,0.407,0.308,10,-9.001,0,0.0296,1.46e-05,0.092,0.153,73.254,256236,3
Jorja Smith,Project 11,Carry Me Home,6fracv4du3sDwo1XKcPrkw,0.471,0.352,2,-9.699,1,0.0391,2.75e-05,0.115,0.102,118.333,282329,3
Sylo Nozra,This_era,Losing Myself,6Z3cp2EIj5i7xnXscgo4RV,0.702,0.344,0,-11.134,1,0.221,5.58e-06,0.132,0.446,149.952,246400,4
Daniel Schulz,Turn Back Time,Turn Back Time,4KnnWpUyPfQD6X5SQSTlH3,0.68,0.346,7,-6.533,1,0.0302,0.0,0.26,0.224,95.952,223562,4
Alextbh,Like That,Like That,1gTr1tAEJCmTLROnWy8azb,0.735,0.459,11,-8.442,1,0.044,0.0,0.323,0.675,104.045,247500,4
Coldplay,A Rush of Blood to the Head,The Scientist,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,1.46e-05,0.11,0.213,146.277,309600,4
Billie Eilish,Ocean Eyes,ocean eyes,2uIX8YMNjGMD7441kqyyNU,0.475,0.37,4,-7.725,0,0.0361,0.0577,0.0841,0.157,144.828,200560,4
Jason Mraz,We Sing. We Dance. We Steal Things.,Lucky,0IktbUcnAGrvD03AWnz3Q8,0.623,0.417,0,-8.699,1,0.0354,0.0,0.135,0.721,130.032,191360,4
Tom Misch,Geography,Movie,6pxElwU80zhjbCC77Vn8EI,0.785,0.379,7,-11.446,1,0.0732,0.0161,0.267,0.182,122.043,357357,3
IU,eight,eight(Prod.&Feat. SUGA of BTS),0pYacDCZuRhcrwGUA5nTBe,0.676,0.869,1,-1.573,1,0.0423,0.0,0.132,0.594,120.029,167573,4
FKJ,French Kiwi Juice,Vibin' Out,6SEolIp22t0DzeBfCBo3hr,0.41,0.169,3,-11.422,1,0.0485,0.00327,0.117,0.208,89.494,311837,4
Official HIGE DANdism,Pretender,Pretender,1OBAWkIciXl8rmbKtrp9ZG,0.526,0.86,8,-3.37,1,0.027,0.0,0.129,0.403,91.955,326440,4
Kodaline,In A Perfect World,All I Want,2PwXOevGUSkU8qaYZjgLq2,0.209,0.412,0,-9.733,1,0.0443,0.15,0.0843,0.162,86.26,305747,3
