artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Katy Perry,Smile,Cry About It Later,7cLrrJ1Dk6WAQyDIj9j26A,0.699,0.669,2,-5.829,0,0.0712,1.71e-05,0.248,0.444,125.994,189773,4
Meghan Trainor,TREAT MYSELF (DELUXE),You Don't Know Me,3xGTNPcwsvonkWUQV1Wsqu,0.579,0.763,9,-4.155,0,0.0717,0.0,0.205,0.617,106.029,210834,4
Justin Bieber,Lonely (with benny blanco),Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11,-7.071,0,0.0398,0.0,0.116,0.0927,79.859,149297,4
Shawn Mendes,Monster,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,0.652,0.383,2,-7.076,0,0.0516,0.0,0.0828,0.549,145.765,178994,4
Justin Bieber,Purpose (Deluxe),Love Yourself,1f8zcJPvJKvxAOjEqM0pyc,0.609,0.378,4,-9.828,1,0.438,0.0,0.28,0.515,100.418,233720,4
Justin Bieber,Purpose (Deluxe),Sorry,0JBq4P9Jpp37F1PteCgGL1,0.654,0.76,0,-3.669,0,0.045,0.0,0.299,0.41,99.945,200787,4
Justin Bieber,Purpose (Deluxe),What Do You Mean?,0NpZenGEA81m99MX1Q677C,0.845,0.567,5,-8.118,0,0.0956,0.00142,0.0811,0.793,125.02,205680,4
Jessie J,Sweet Talker (Deluxe Version),Bang Bang,3SaIsrEzrQGDcG1jCeaK8q,0.711,0.774,0,-3.391,0,0.0922,0.0,0.371,0.715,150.032,199387,4
Lady Gaga,ARTPOP,Applause,1C79CxJdMHjk9RkwX04DRh,0.67,0.787,7,-4.277,0,0.0519,1.74e-06,0.125,0.713,139.906,212333,4
Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.0,0.153,0.632,106.97,225983,4
Ariana Grande,Dangerous Woman,Side To Side,44ONERBHALxftQNWq6dmyd,0.65,0.736,6,-5.84,0,0.229,0.0,0.235,0.612,159.174,226160,4
Shawn Mendes,Handwritten,Stitches,3zkWCteF82vJwv0hRLba76,0.746,0.754,1,-6.684,1,0.0676,0.0,0.0486,0.746,149.882,206880,4
